angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"[848, 203, 277, 347]",0.0,0.2,0.0,0.43,0.26,0.07
0.04,"[845, 201, 280, 349]",0.0,0.19,0.0,0.34,0.4,0.03
0.04,"[845, 201, 280, 350]",0.0,0.2,0.0,0.35,0.38,0.03
0.04,"[845, 201, 280, 350]",0.0,0.23,0.0,0.32,0.38,0.04
0.1,"[844, 200, 281, 352]",0.0,0.09,0.0,0.4,0.4,0.01
0.18,"[843, 199, 282, 354]",0.0,0.06,0.0,0.25,0.5,0.01
0.12,"[824, 189, 295, 371]",0.0,0.11,0.0,0.12,0.63,0.01
0.06,"[824, 189, 294, 371]",0.0,0.21,0.0,0.15,0.5,0.08
0.08,"[828, 186, 293, 371]",0.0,0.14,0.0,0.35,0.41,0.02
0.07,"[825, 189, 292, 370]",0.0,0.22,0.0,0.14,0.44,0.13
0.14,"[842, 200, 283, 354]",0.0,0.11,0.0,0.24,0.5,0.02
0.06,"[824, 187, 294, 371]",0.0,0.17,0.0,0.26,0.38,0.12
0.14,"[843, 199, 282, 355]",0.0,0.09,0.0,0.27,0.49,0.02
0.04,"[844, 201, 280, 350]",0.0,0.19,0.0,0.39,0.34,0.03
0.05,"[826, 189, 291, 366]",0.0,0.19,0.0,0.15,0.57,0.03
0.06,"[826, 188, 291, 368]",0.0,0.16,0.0,0.23,0.43,0.11
0.09,"[844, 198, 281, 353]",0.0,0.1,0.0,0.33,0.46,0.02
0.04,"[844, 199, 281, 351]",0.0,0.18,0.0,0.31,0.43,0.04
0.06,"[826, 187, 291, 369]",0.0,0.16,0.0,0.23,0.45,0.1
0.09,"[845, 201, 279, 350]",0.0,0.1,0.0,0.41,0.39,0.01
0.09,"[845, 201, 279, 350]",0.0,0.1,0.0,0.41,0.39,0.01
0.08,"[844, 198, 280, 355]",0.0,0.15,0.0,0.26,0.49,0.01
0.08,"[843, 198, 280, 355]",0.0,0.15,0.0,0.25,0.51,0.01
0.14,"[826, 189, 291, 369]",0.0,0.17,0.0,0.18,0.48,0.04
0.16,"[826, 189, 291, 369]",0.0,0.16,0.0,0.15,0.49,0.04
0.17,"[826, 189, 290, 369]",0.0,0.16,0.0,0.15,0.49,0.03
0.09,"[826, 186, 293, 373]",0.0,0.15,0.0,0.29,0.45,0.03
0.09,"[826, 186, 293, 373]",0.0,0.13,0.0,0.29,0.45,0.03
0.09,"[826, 187, 293, 371]",0.0,0.16,0.0,0.12,0.62,0.02
0.1,"[826, 187, 293, 372]",0.0,0.16,0.0,0.11,0.61,0.02
0.1,"[826, 187, 293, 372]",0.0,0.16,0.0,0.11,0.6,0.02
0.05,"[828, 187, 295, 372]",0.0,0.18,0.0,0.2,0.54,0.03
0.03,"[828, 187, 295, 372]",0.0,0.21,0.0,0.2,0.4,0.15
0.03,"[828, 187, 294, 371]",0.0,0.16,0.0,0.26,0.37,0.17
0.03,"[826, 189, 291, 366]",0.0,0.18,0.0,0.34,0.35,0.1
0.03,"[826, 189, 292, 366]",0.0,0.18,0.0,0.33,0.35,0.1
0.11,"[826, 189, 291, 365]",0.0,0.21,0.0,0.2,0.46,0.02
0.1,"[826, 189, 291, 365]",0.0,0.21,0.0,0.2,0.46,0.02
0.09,"[826, 189, 291, 366]",0.0,0.2,0.0,0.15,0.54,0.02
0.09,"[826, 189, 291, 366]",0.0,0.2,0.0,0.15,0.53,0.02
0.09,"[827, 189, 292, 365]",0.0,0.13,0.0,0.26,0.49,0.03
0.04,"[826, 187, 294, 369]",0.0,0.18,0.0,0.23,0.49,0.06
0.09,"[827, 188, 292, 368]",0.0,0.13,0.0,0.21,0.53,0.03
0.03,"[827, 186, 295, 370]",0.0,0.2,0.0,0.21,0.51,0.05
0.03,"[827, 188, 291, 368]",0.0,0.18,0.0,0.21,0.51,0.06
0.03,"[827, 188, 291, 368]",0.0,0.18,0.0,0.21,0.51,0.06
0.05,"[826, 187, 292, 369]",0.0,0.18,0.0,0.22,0.39,0.17
0.08,"[826, 188, 291, 368]",0.0,0.14,0.0,0.33,0.42,0.04
0.03,"[826, 185, 294, 372]",0.0,0.11,0.0,0.36,0.3,0.2
0.03,"[826, 185, 294, 371]",0.0,0.12,0.0,0.36,0.28,0.2
0.03,"[842, 200, 282, 355]",0.0,0.18,0.01,0.46,0.17,0.15
0.03,"[826, 190, 291, 366]",0.0,0.13,0.0,0.43,0.26,0.15
0.04,"[840, 201, 283, 352]",0.0,0.2,0.0,0.38,0.16,0.21
0.03,"[841, 200, 282, 353]",0.0,0.21,0.0,0.35,0.19,0.21
0.08,"[841, 201, 282, 351]",0.0,0.15,0.0,0.44,0.3,0.03
0.08,"[841, 201, 282, 351]",0.0,0.15,0.0,0.44,0.3,0.03
0.07,"[840, 200, 281, 352]",0.0,0.13,0.0,0.52,0.26,0.01
0.06,"[841, 200, 282, 352]",0.0,0.13,0.0,0.52,0.28,0.01
0.03,"[840, 198, 282, 356]",0.0,0.17,0.0,0.47,0.24,0.09
0.07,"[841, 200, 281, 353]",0.0,0.1,0.0,0.58,0.23,0.01
0.07,"[841, 200, 281, 353]",0.0,0.1,0.0,0.59,0.23,0.01
0.05,"[845, 205, 278, 345]",0.0,0.1,0.0,0.55,0.29,0.01
0.06,"[845, 205, 278, 345]",0.0,0.1,0.0,0.54,0.29,0.01
0.03,"[842, 205, 281, 349]",0.0,0.2,0.0,0.5,0.24,0.03
0.03,"[843, 205, 280, 348]",0.0,0.19,0.0,0.52,0.22,0.03
0.03,"[843, 206, 281, 347]",0.0,0.18,0.0,0.51,0.25,0.03
0.08,"[843, 202, 282, 351]",0.0,0.1,0.0,0.41,0.4,0.01
0.07,"[842, 203, 282, 350]",0.0,0.07,0.0,0.51,0.33,0.01
0.09,"[846, 203, 279, 350]",0.0,0.12,0.0,0.38,0.4,0.01
0.09,"[845, 203, 280, 350]",0.0,0.12,0.0,0.39,0.37,0.02
0.08,"[845, 204, 280, 351]",0.0,0.05,0.0,0.6,0.26,0.01
0.03,"[844, 206, 279, 350]",0.0,0.1,0.0,0.61,0.24,0.02
0.08,"[824, 193, 295, 375]",0.0,0.16,0.0,0.35,0.35,0.06
0.04,"[843, 207, 277, 349]",0.0,0.08,0.0,0.54,0.31,0.02
0.05,"[842, 207, 278, 350]",0.0,0.07,0.0,0.59,0.28,0.01
0.05,"[842, 207, 278, 350]",0.0,0.07,0.0,0.59,0.28,0.01
0.08,"[825, 198, 297, 377]",0.0,0.12,0.0,0.42,0.36,0.02
0.06,"[825, 198, 297, 377]",0.0,0.1,0.0,0.56,0.26,0.02
0.03,"[825, 197, 295, 376]",0.0,0.08,0.01,0.46,0.32,0.1
0.04,"[824, 197, 296, 376]",0.0,0.07,0.0,0.51,0.36,0.01
0.04,"[824, 197, 295, 376]",0.0,0.08,0.0,0.51,0.36,0.01
0.02,"[833, 202, 287, 361]",0.0,0.15,0.0,0.54,0.25,0.05
0.02,"[833, 202, 287, 361]",0.0,0.14,0.0,0.55,0.24,0.05
0.05,"[835, 204, 285, 358]",0.0,0.1,0.0,0.44,0.39,0.02
0.02,"[835, 204, 285, 357]",0.0,0.06,0.0,0.64,0.27,0.01
0.04,"[834, 204, 286, 358]",0.0,0.07,0.0,0.54,0.33,0.02
0.02,"[834, 204, 286, 359]",0.0,0.21,0.0,0.39,0.31,0.07
0.02,"[835, 203, 285, 361]",0.0,0.22,0.0,0.38,0.3,0.09
0.02,"[836, 204, 285, 359]",0.0,0.13,0.0,0.55,0.21,0.1
0.01,"[836, 204, 285, 358]",0.0,0.13,0.0,0.54,0.19,0.13
0.01,"[836, 204, 285, 358]",0.0,0.13,0.0,0.54,0.19,0.12
0.04,"[838, 209, 283, 351]",0.0,0.1,0.0,0.57,0.25,0.03
0.08,"[838, 207, 283, 354]",0.0,0.12,0.0,0.42,0.33,0.04
0.03,"[842, 210, 280, 347]",0.0,0.15,0.0,0.57,0.23,0.03
0.03,"[842, 210, 280, 347]",0.0,0.16,0.0,0.56,0.22,0.03
0.03,"[841, 210, 281, 348]",0.0,0.08,0.0,0.7,0.16,0.03
0.03,"[844, 210, 282, 349]",0.0,0.14,0.0,0.57,0.21,0.04
0.02,"[843, 210, 283, 349]",0.0,0.11,0.0,0.65,0.2,0.03
0.05,"[827, 196, 295, 369]",0.0,0.08,0.0,0.53,0.32,0.02
0.07,"[847, 212, 279, 345]",0.0,0.11,0.0,0.54,0.27,0.02
0.07,"[846, 209, 281, 348]",0.0,0.12,0.0,0.44,0.35,0.01
0.02,"[830, 197, 294, 368]",0.0,0.17,0.0,0.52,0.26,0.03
0.03,"[830, 197, 294, 368]",0.0,0.17,0.0,0.51,0.26,0.03
0.03,"[850, 209, 278, 346]",0.0,0.25,0.0,0.44,0.23,0.05
0.04,"[850, 209, 278, 346]",0.0,0.25,0.0,0.44,0.22,0.05
0.04,"[850, 209, 278, 346]",0.0,0.24,0.0,0.45,0.22,0.05
0.05,"[851, 206, 277, 348]",0.0,0.06,0.0,0.7,0.19,0.01
0.05,"[851, 206, 277, 348]",0.0,0.06,0.0,0.71,0.17,0.01
0.04,"[848, 203, 281, 349]",0.0,0.06,0.0,0.74,0.14,0.01
0.07,"[848, 202, 281, 349]",0.0,0.07,0.0,0.69,0.16,0.01
0.07,"[848, 203, 281, 348]",0.0,0.09,0.0,0.63,0.19,0.01
0.06,"[846, 196, 281, 348]",0.0,0.06,0.0,0.67,0.2,0.01
0.08,"[847, 197, 279, 347]",0.0,0.08,0.0,0.6,0.23,0.01
0.04,"[845, 189, 282, 352]",0.0,0.16,0.0,0.4,0.3,0.09
0.07,"[846, 190, 282, 352]",0.0,0.14,0.0,0.57,0.21,0.01
0.07,"[846, 190, 282, 352]",0.0,0.14,0.0,0.57,0.2,0.01
0.06,"[835, 178, 292, 353]",0.0,0.17,0.0,0.24,0.5,0.03
0.07,"[835, 179, 289, 350]",0.0,0.14,0.0,0.21,0.54,0.03
0.07,"[848, 176, 281, 343]",0.0,0.17,0.0,0.45,0.31,0.01
0.12,"[847, 176, 282, 343]",0.0,0.15,0.0,0.38,0.33,0.02
0.11,"[847, 176, 282, 343]",0.0,0.16,0.0,0.39,0.33,0.02
0.15,"[850, 174, 277, 336]",0.0,0.28,0.0,0.24,0.31,0.01
0.16,"[851, 174, 277, 336]",0.0,0.3,0.0,0.24,0.28,0.02
0.06,"[852, 171, 274, 332]",0.0,0.42,0.0,0.22,0.24,0.07
0.12,"[853, 172, 276, 331]",0.0,0.38,0.0,0.26,0.21,0.03
0.12,"[853, 172, 276, 332]",0.0,0.38,0.0,0.25,0.22,0.03
0.11,"[853, 170, 273, 327]",0.0,0.28,0.0,0.31,0.28,0.02
0.13,"[853, 170, 273, 327]",0.0,0.28,0.0,0.29,0.28,0.02
0.03,"[838, 161, 291, 343]",0.0,0.33,0.0,0.42,0.19,0.03
0.04,"[838, 162, 291, 342]",0.0,0.31,0.0,0.39,0.24,0.03
0.01,"[849, 201, 273, 341]",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"[845, 200, 278, 346]",0.0,0.03,0.0,0.9,0.06,0.0
0.01,"[847, 200, 277, 347]",0.0,0.06,0.0,0.82,0.1,0.01
0.01,"[847, 201, 277, 345]",0.0,0.06,0.0,0.82,0.11,0.0
0.01,"[848, 200, 276, 346]",0.0,0.06,0.0,0.84,0.08,0.01
0.01,"[845, 199, 279, 347]",0.0,0.11,0.0,0.71,0.12,0.05
0.01,"[843, 198, 279, 350]",0.0,0.03,0.0,0.89,0.06,0.01
0.01,"[843, 198, 280, 349]",0.0,0.04,0.0,0.88,0.07,0.01
