angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[846, 202, 277, 345]",0.0,0.12,0.0,0.68,0.14,0.03
0.01,"[848, 200, 278, 348]",0.0,0.12,0.0,0.73,0.09,0.05
0.01,"[847, 200, 279, 348]",0.0,0.1,0.0,0.74,0.08,0.06
0.01,"[848, 200, 278, 348]",0.0,0.04,0.0,0.91,0.04,0.01
0.01,"[847, 199, 280, 351]",0.0,0.13,0.0,0.66,0.08,0.12
0.01,"[848, 199, 279, 350]",0.0,0.12,0.0,0.68,0.08,0.1
0.01,"[846, 196, 283, 355]",0.0,0.14,0.01,0.54,0.06,0.23
0.01,"[847, 196, 282, 354]",0.0,0.16,0.0,0.52,0.06,0.24
0.01,"[824, 182, 297, 371]",0.0,0.11,0.0,0.08,0.02,0.78
0.0,"[846, 193, 285, 358]",0.0,0.17,0.0,0.05,0.02,0.75
0.0,"[846, 193, 285, 359]",0.0,0.16,0.0,0.05,0.02,0.76
0.01,"[848, 193, 280, 354]",0.0,0.38,0.0,0.06,0.01,0.54
0.0,"[848, 193, 280, 355]",0.0,0.14,0.0,0.0,0.01,0.84
0.01,"[846, 189, 279, 354]",0.0,0.19,0.04,0.01,0.01,0.74
0.01,"[845, 189, 281, 354]",0.0,0.21,0.03,0.01,0.01,0.74
0.01,"[846, 190, 280, 353]",0.0,0.22,0.04,0.01,0.01,0.72
0.01,"[845, 187, 280, 352]",0.0,0.02,0.7,0.01,0.0,0.25
0.01,"[844, 187, 281, 352]",0.0,0.02,0.74,0.01,0.0,0.22
0.0,"[847, 187, 278, 347]",0.0,0.0,0.93,0.0,0.0,0.06
0.0,"[847, 187, 278, 347]",0.0,0.0,0.93,0.0,0.0,0.06
0.0,"[847, 187, 278, 348]",0.0,0.0,0.92,0.0,0.0,0.07
0.0,"[847, 187, 279, 347]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 186, 280, 349]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[845, 184, 281, 350]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[845, 184, 281, 350]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[845, 184, 281, 350]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[841, 180, 284, 354]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[841, 180, 284, 353]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[826, 173, 296, 367]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[826, 174, 296, 366]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[826, 173, 296, 366]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[837, 179, 284, 354]",0.0,0.01,0.94,0.0,0.0,0.05
0.0,"[838, 179, 283, 354]",0.0,0.01,0.95,0.0,0.0,0.04
0.0,"[826, 172, 294, 367]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[825, 168, 295, 370]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[825, 167, 295, 371]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[825, 171, 294, 368]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[825, 171, 294, 368]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[826, 172, 294, 368]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[826, 172, 293, 368]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[826, 172, 293, 368]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[828, 172, 292, 368]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[829, 173, 292, 366]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[842, 180, 281, 352]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[842, 180, 281, 352]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 184, 279, 345]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[828, 166, 294, 371]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[828, 166, 294, 371]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[830, 162, 299, 378]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[829, 167, 294, 371]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[829, 167, 294, 370]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[832, 166, 292, 369]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[832, 167, 293, 371]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[833, 161, 297, 376]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[833, 161, 297, 376]",0.0,0.0,0.99,0.0,0.0,0.01
